Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia
,,,Pseudomys novaehollandiae,,,,
,,,Pseudomys oralis,,,,
,,,Pseudomys patrius,,,,
,,,Pteropus alecto,,,,
,,,Pteropus conspicillatus,,,,
,,,Pteropus poliocephalus,,,,
,,,Pteropus scapulatus,,,,
,,,Rattus fuscipes,,,,
,,,Rattus leucopus,,,,
,,,Rattus lutreola,,,,
,,,Rattus sordidus,,,,
,,,Rattus tunneyi,,,,
,,,Rattus villosissimus,,,,
,,,Rhinolophus megaphyllus,,,,
,,,Rhinolophus robertsi,,,,
,,,Rhinonicteris aurantia,,,,
,,,Saccolaimus flaviventris,,,,
,,,Saccolaimus mixtus,,,,
,,,Saccolaimus saccolaimus,,,,
,,,Scoteanax rueppellii,,,,
,,,Scotorepens balstoni,,,,
,,,Scotorepens greyii,,,,
,,,Scotorepens orion,,,,
,,,Scotorepens sanborni,,,,
,,,Setirostris eleryi,,,,
,,,Sminthopsis archeri,,,,
,,,Sminthopsis crassicaudata,,,,
,,,Sminthopsis douglasi,,,,
,,,Sminthopsis hirtipes,,,,
,,,Sminthopsis leucopus,,,,
,,,Sminthopsis macroura,,,,
,,,Sminthopsis murina,,,,
,,,Sminthopsis virginiae,,,,
,,,Sminthopsis youngsoni,,,,
,,,Spilocuscus nudicaudatus,,,,
,,,Syconycteris australis,,,,
,,,Tachyglossus aculeatus,,,,
,,,Taphozous australis,,,,
,,,Taphozous georgianus,,,,
,,,Taphozous hilli,,,,
,,,Taphozous kapalgensis,,,,
,,,Taphozous troughtoni,,,,
,,,Thylogale stigmatica,,,,
,,,Thylogale thetis,,,,
,,,Trichosurus caninus,,,,
,,,Trichosurus vulpecula,,,,
,,,Uromys caudimaculatus,,,,
,,,Uromys hadrourus,,,,
,,,Vespadelus baverstocki,,,,
,,,Vespadelus caurinus,,,,
,,,Vespadelus darlingtoni,,,,
,,,Vespadelus finlaysoni,,,,
,,,Vespadelus pumilus,,,,
,,,Vespadelus regulus,,,,
,,,Vespadelus troughtoni,,,,
,,,Vespadelus vulturnus,,,,
,,,Wallabia bicolor,,,,
,,,Xeromys myoides,,,,
,,,Zyzomys argurus,,,,
,,,Zyzomys palatalis,,,,
